ID;NOM_COUV;COMP1;COMP2;COMP3
200036069;CC du Pays de Mortagne au Perche;61293;D61;R28
200036077;CC du Golfe de Saint-Tropez;83115;D83;R93
200036135;CC Coeur de France;18197;D18;R24
200036150;CC des Hauts du Val de Saône;70292;D70;R27
200036465;CC de Thann-Cernay;68063;D68;R44
200036473;CA de Saintes;17415;D17;R75
200036499;CC de Marana-Golo;2B042;D2B;R94
200036523;CC des Bastides en Haut Agenais Périgord;47175;D47;R75
200036549;CC Val de Gray;70279;D70;R27
200037059;CC de la Haute Somme (Combles-Péronne-Roisel);80620;D80;R32
200037133;CC du Provinois;77379;D77;R11
200038958;CC de la Pieve de l'Ornano et du Taravo;2A130;D2A;R94
200038990;CC de Saint-Méen Montauban;35184;D35;R53
200039022;CA Vitré Communauté;35360;D35;R53
200039055;CC Ouche et Montagne;21661;D21;R27
200039063;CC Forêts, Seine et Suzon;21408;D21;R27
200039204;CC de Lacq-Orthez;64430;D64;R75
200039519;CC du Quercy Blanc;46063;D46;R76
200039642;CC Le Tonnerrois en Bourgogne;89418;D89;R27
200039709;CC du Serein;89208;D89;R27
200039758;CC Avallon, Vézelay, Morvan;89025;D89;R27
200039808;CC des Gorges de l'Ardèche;7330;D7;R84
200039824;CC Ardèche des Sources et Volcans;7107;D7;R84
200039832;CC Pays des Vans en Cévennes;7334;D7;R84
200039857;CA du Pays de Grasse;6069;D6;R93
200039865;Metz Métropole;57463;D57;R44
200039907;CC du Sud Messin;57572;D57;R44
200039915;CA Cannes Pays de Lérins;6029;D6;R93
200039931;CC Alpes d'Azur;6099;D6;R93
200039949;CC Rives de Moselle;57433;D57;R44
200040038;CC Saône Doubs Bresse;71456;D71;R27
200040095;CC Isle Vern Salembre en Périgord;24372;D24;R75
200040111;CC Coeur de Chartreuse;38412;D73;R84
200040137;CC des Lacs de Champagne;10064;D10;R44
200040178;CC de l'Outre-Forêt;67339;D67;R44
200040202;CC Provence Verdon;83104;D83;R93
200040210;CC Lacs et Gorges du Verdon;83102;D83;R93
200040244;CA du Bocage Bressuirais;79049;D79;R75
200040251;CC Bassée-Montois;77159;D77;R11
200040277;CA Agglo du Pays de Dreux;28134;D28;R24
200040293;CC du Clunisois;71137;D71;R27
200040350;CC Bugey Sud;1034;D1;R84
200040384;CC Isle Double Landais;24294;D24;R75
200040392;CA Le Grand Périgueux;24322;D24;R75
200040400;CC du Périgord Ribéracois;24352;D24;R75
200040418;CC du Pays de Serres en Quercy;82094;D82;R76
200040426;CC du Val de l'Oise;2648;D2;R32
200040442;CA Luberon Monts de Vaucluse;84035;D84;R93
200040459;CA Montélimar Agglomération;26198;D26;R84
200040475;CC Loué-Brûlon-Noyen;72223;D72;R52
200040491;CC Porte de Dromardèche;26325;D26;R84
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;26108;D26;R84
200040558;CC Ecueillé-Valençay;36228;D36;R24
200040566;CA de l'Ouest Rhodanien;69243;D69;R84
200040574;CC Beaujolais Pierres Dorées;69009;D69;R84
200040590;CA Villefranche Beaujolais Saône;69264;D69;R84
200040624;CC Pays d'Apt-Luberon;84003;D84;R93
200040657;CC de la Matheysine;38269;D38;R84
200040681;CC Enclave des Papes-Pays de Grignan;84138;D26;R84
200040715;Grenoble-Alpes-Métropole;38185;D38;R84
200040764;CC du Sud Corse;2A247;D2A;R94
200040772;CC du Perche et Haut Vendômois;41175;D41;R24
200040798;CC Val Vanoise;73227;D73;R84
200040814;CC Briance Sud Haute Vienne;87203;D87;R75
200040830;CC du Pays de Fénelon;24082;D24;R75
200040889;CC de Portes Sud Périgord;24167;D24;R75
200040905;CC Carmausin-Ségala;81060;D81;R76
200040947;CC de Flandre Intérieure;59295;D59;R32
200040954;CC des Hauts de Flandre;59663;D59;R32
200041010;CC Coeur de Savoie;73171;D73;R84
200041051;CC Vallée de la Dordogne et Forêt Bessède;24396;D24;R75
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;24547;D24;R75
200041168;CC de la Vallée de l'Homme;24291;D24;R75
200041283;CC de la Plaine du Rhin;67463;D67;R44
200041317;CA du Niortais;79191;D79;R75
200041325;CC du Pays Rhénan;67106;D67;R44
200041333;CC de Parthenay-Gâtine;79202;D79;R75
200041366;CC Rhône Crussol;7102;D7;R84
200041416;CC Airvaudais-Val du Thouet;79005;D79;R75
200041440;CC de Domme- Villefranche du Périgord;24091;D24;R75
200041465;CC Val Eyrieux;7064;D7;R84
200041499;CC Aunis Atlantique;17218;D17;R75
200041507;CA La Riviéra du Levant;97113;D971;R97
200041515;CC du Bassin de Pont-à-Mousson;54431;D54;R44
200041523;CC de la Haute Saintonge;17283;D17;R75
200041556;CC Portes de la Creuse en Marche;23025;D23;R75
200041572;CC Dronne et Belle;24064;D24;R75
200041614;CC Aunis Sud;17434;D17;R75
200041622;CC Ardennes Thiérache;8420;D8;R44
200041630;CA Ardenne Métropole;8105;D8;R44
200041689;CC Vals de Saintonge Communauté;17347;D17;R75
200041721;CC de la Haute Comté;70245;D70;R27
200041762;CA Rochefort Océan;17299;D17;R75
200041788;CA du Pays Nord Martinique;97222;D972;R97
200041853;CC du Pays de Montbozon et du Chanois;70197;D70;R27
200041861;CC du Triangle Vert;70478;D70;R27
200041879;CC Terres de Saône;70421;D70;R27
200041887;CC du Val Marnaysien;70334;D70;R27
200041960;CC Pévèle-Carembault;59449;D59;R32
200041994;CC Haut Val de Sèvre;79270;D79;R75
200042000;CC Bruyères-Vallons des Vosges;88078;D88;R44
200042174;CA Lorient Agglomération;56121;D56;R53
200042182;CC du Mont des Avaloirs;53271;D53;R52
200042190;CA de la Porte du Hainaut;59172;D59;R32
200042372;CC des Coteaux Arrats Gimone;32147;D32;R76
200042414;CC Bresse Revermont 71;71419;D71;R27
200042463;CC de la Montagne Noire;11367;D11;R76
200042497;CC Dombes Saône Vallée;1427;D1;R84
200042604;CC de Granville, Terre et Mer;50218;D50;R28
200042620;CC de la Région de Suippes;51559;D51;R44
200042646;CC Grand Orb communauté de communes en Languedoc;34028;D34;R76
200042653;CC Sud-Hérault;34052;D34;R76
200042703;CC de l'Argonne Champenoise;51507;D51;R44
200042729;CC de la Baie du Cotentin;50099;D50;R28
200042901;CC Drôme Sud Provence;26235;D26;R84
200042935;CA Haut-Bugey Agglomération;1283;D1;R84
200042943;CC du Cap Corse;2B043;D2B;R94
200042992;CC Perthois-Bocage et Der;51567;D51;R44
200043016;CC Val de Charente;16292;D16;R75
200043065;CC du Val d Amboise;37003;D37;R24
200043081;CC Chinon, Vienne et Loire;37072;D37;R24
200043123;CC Auray Quiberon Terre Atlantique;56007;D56;R53
200043156;CC du Pays Réthelois;8362;D8;R44
200043172;CA du Bassin de Brive;19031;D19;R75
200043263;CC Coeur de l'Avesnois;59036;D59;R32
200043321;CC du Pays de Mormal;59481;D59;R32
200043354;CC de Villedieu Intercom;50639;D50;R28
200043396;CA Maubeuge Val de Sambre;59392;D59;R32
200043404;CC du Sud Avesnois;59249;D59;R32
200043438;CC de la Moivre à la Coole;51193;D51;R44
200043495;CA du Pays de Laon;2408;D2;R32
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;66008;D66;R76
200043628;CC des Vallées du Clain;86293;D86;R75
200043693;CC Terre Lorraine du Longuyonnais;54322;D54;R44
200043776;CC Pyrénées audoises;11304;D11;R76
200043974;CC du Sud Gironde;33227;D33;R75
200043982;CC du Bazadais;33036;D33;R75
200043990;CC Vallons de Haute-Bretagne Communauté;35126;D35;R53
200044014;CC Creuse Grand Sud;23008;D23;R75
200044030;CC des 7 Vallées;62447;D62;R32
200044048;CC Osartis Marquion;62173;D62;R32
200044253;CC du Bassin de Joinville en Champagne;52250;D52;R44
200044394;CC du Réolais en Sud Gironde;33352;D33;R75
200044469;CC du Pays de Mirepoix;9194;D9;R76
200044618;CA Douaisis Agglo;59178;D59;R32
200044691;CA du Nord Grande Terre;97117;D971;R97
200046977;Métropole de Lyon;69123;D69;R84
200048551;CC du Pays de Craon;53084;D53;R52
200049187;CA du Grand Verdun;55545;D55;R44
200049211;CC Conflent-Canigó;66149;D66;R76
200049484;CC Berry Grand Sud;18057;D18;R24
200050532;CC de Petite-Terre;97615;D976;R97B
200054781;Métropole du Grand Paris;75056;D75;R11
200054807;Métropole d'Aix-Marseille-Provence;13055;D13;R93
